Job Title,Job Ratings,time,JobStatus,Pros,Cons
Credit administrator,5.0,"Jun 30, 2022","Former employee, more than 5 years",Good culture environment and teamwork,- Non applicable Non applicable
Sr. acct manager,1.0,"Dec 20, 2024","Former employee, more than 5 years",Dont chose to work for this toddler ran company.,Low pay and long hours expected
Anonymous employee,4.0,"Jul 28, 2023",Current employee,Big ambition to grow horizontally and leadership,Bureaucracy due to the age of the org and historical ways of working
Anonymous employee,4.0,"Jan 26, 2016",Former employee,The internship provides a great opportunity to be a college counselor and provide mentorship to young high school kids as they apply to universities abroad. Its one of the most fulfilling experiences I've had.,Strict work culture (friendly staff through) which is subject to personal interpretation. I liked it since it was challenging and pushes one out of comfort zone.
Bank teller,2.0,"Mar 1, 2021","Former employee, more than 1 year",Nice co-workers and good work hours,You can tell the upper management doesn't care about lower-level employees
Relationship officer,4.0,"Dec 3, 2020","Former employee, less than 1 year",Worked hand in hand with customers,"Other than client relations, tasks within the bank for this role were the same every day all day and not mind-engaging."
Anonymous employee,5.0,"Feb 16, 2016",Former employee,Great learning experience and support from the management.,I liked my experience overall. I didn't find any big challenges.
Mortgage banker,4.0,"Nov 8, 2020",Current employee,"Provides unsecured loans to small and medium suzed businesses

Excrllent online banking platforms",Not a very good employer but pays well if you get the chance.
R/o,3.0,"Jun 21, 2013","Former employee, less than 1 year",Good personal image among the clients,Long working hours that isnt reflected on the salary
Manager,5.0,"Jan 8, 2014","Former employee, more than 1 year",Growing company that works with people,So much growth its hard to keep up
Anonymous employee,3.0,"Oct 21, 2021","Former employee, less than 1 year",Fellow young professionals to form personal and professional relationships with,Misogynistic culture prioritizing male employees over female ones
Anonymous employee,3.0,"Feb 29, 2016",Former employee,Very friendly people and work has real impact,Low salaries for interns- barely enough to support oneself
Associate director,4.0,"May 19, 2015","Current employee, more than 3 years",The work is ok but want more,Need more to be completely fulfilling
Commercial loan assistant,4.0,"Mar 25, 2021",Current employee,"Great people, great customers. Plenty of growth opportunities.",Processes could use some improvement.
Anonymous employee,4.0,"Dec 13, 2021",Current employee,good balance of work hours and job independence,The pay can definitely be much better
Teller,3.0,"Apr 4, 2021","Current employee, more than 1 year","Flexible and helpful, fun activites through the year","Customers, lack of staffing at times"
Banker,1.0,"Oct 14, 2019","Former employee, more than 5 years",Free coffee  and friendly coworkers in the beginning,There was a constant mergers and acquisitions mindset of executive management without regards to employees who actually had to do the work. Very hostile work environment.
Administrative assistant,4.0,"Jun 9, 2022",Current employee,Nice people and great place to work..,Pay is average..but not the worst
Anonymous employee,4.0,"Feb 9, 2015",Former employee,"Hours are great, with half day saturday.",Sometimes not clearly defined roles
Anonymous employee,3.0,"Sep 21, 2017",Former employee,Great company to work at,monotonous work because of repeating it
