Job Title,Job Ratings,time,JobStatus,Pros,Cons
Program manager,4.0,"Jun 21, 2013","Former employee, more than 8 years","1) Food, food, food.  15+ cafes on main campus (MTV) alone.  Mini-kitchens, snacks, drinks, free breakfast/lunch/dinner, all day, errr'day.

2) Benefits/perks.  Free 24:7 gym access (on MTV campus).  Free (self service) laundry (washer/dryer) available.  Bowling alley.  Volley ball pit.  Custom-built and exclusive employee use only outdoor sport park (MTV).  Free health/fitness assessments.  Dog-friendly.  Etc. etc. etc.

3) Compensation.  In ~2010 or 2011, Google updated its compensation packages so that they were more competitive.  

4) For the size of the organization (30K+), it has remained relatively innovative, nimble, and fast-paced and open with communication but, that is definitely changing (for the worse).

5) With so many departments, focus areas, and products, *in theory*, you should have plenty of opportunity to grow your career (horizontally or vertically).  In practice, not true.  

6)  You get to work with some of the brightest, most innovative and hard-working/diligent minds in the industry.  There's a ""con"" to that, too (see below).","1) Work/life balance.  What balance?  All those perks and benefits are an illusion.  They keep you at work and they help you to be more productive.  I've never met anybody at Google who actually time off on weekends or on vacations.  You may not hear management say, ""You have to work on weekends/vacations"" but, they set the culture by doing so - and it inevitably trickles down.  I don't know if Google inadvertently hires the work-a-holics or if they create work-a-holics in us.  Regardless, I have seen way too many of the following: marriages fall apart, colleagues choosing work and projects over family, colleagues getting physically sick and ill because of stress, colleagues crying while at work because of the stress, colleagues shooting out emails at midnight, 1am, 2am, 3am.  It is absolutely ridiculous and something needs to change.

2) Poor management.  I think the issue is that, a majority of people love Google because they get to work on interesting technical problems - and these are the people that see little value in learning how to develop emotional intelligence.  Perhaps they enjoy technical problems because people are too ""difficult.""  People are promoted into management positions - not because they actually know how to lead/manage, but because they happen to be smart or because there is no other path to grow into.  So there is a layer of intelligent individuals who are horrible managers and leaders.  Yet, there is no value system to actually do anything about that because ""emotional intelligence"" or ""adaptive leadership"" are not taken seriously.

3) Jerks.  Sure, there are a lot of brilliant people - but, sadly, there are also a lot of jerks (and, many times, they are one and the same).  Years ago, that wasn't the case.  I don't know if the pool of candidates is getting smaller, or maybe all the folks with great personalities cashed out and left, or maybe people are getting burned out and it's wearing on their personality and patience.  I've heard stories of managers straight-up cussing out their employees and intimidating/scaring their employees into compliance.

4) It's a giant company now and, inevitably, it has become slower moving and is now layered with process and bureaucracy.  So many political battles, empire building, territory grabbing.  Google says, ""Don't be evil.""  But, that practice doesn't seem to be put into place when it comes to internal practices.  :("
Software engineer iii,5.0,"May 10, 2014","Current employee, more than 1 year","* If you're a software engineer, you're among the kings of the hill at Google. It's an engineer-driven company without a doubt (that *is* changing, but it's still very engineer-focused).
* The perks are amazing. Yes, free breakfast, lunch, an dinner every weekday. Aaaaaamazing holiday parties (at Waldorf Astoria, NY Public Library, MoMA, etc.); overnight ski trips to Vermont; overnight nature trips to the Poconos in the summer; summer picnics at Chelsea piers; and on and on and on. I don't see this going away unless the company starts hurting financially.
* Speaking of which, the company is doing quite well, which reflects in bonuses and equity grants.
* There a huge diversity of work ranging from defending independent journalism worldwide (Google Project Shield) to crisis response during disasters (see Maps during Hurricane Sandy or Tsunamis), to the best machine learning experts and projects in the world, to more mundane revenue-driving projects in advertising, there's really something for everybody.
* It's easy to move around within the company as long as you're in good standing (the vast majority of engineers are).
* The company is amazingly open: every week Larry Page and Sergey Brin host what's called TGIF where food, beer, wine, etc. is served, a new project is presented, and afterward there's an open forum to ask the executives anything you want. It's truly fair game to ask anything, no matter how controversial, and frequently the executives will be responsive.
* No, nobody cares if you use an iPhone, Facebook, shop with Amazon, stream using Spotify, or refuse to use Google+. The company is amazingly open and flexible.

Neither pro nor con, but general information on work-life balance, promotions, and advancement.
* Work life balance can be what you want it to be on most teams. (Some teams are in more competitive sectors and require more crazy hours all the time - but very few of them). If you do what's expected, you'll be fine at least for a handful of years. Working a roughly 40 hour work week is possible, and many people do it. There are also people who are hyper-motived and work like crazy just because they love it, or because they're competitive, or they want to get a promotion. If you work 40 hour weeks without putting in anything extra, you'll fall behind them as they advance and you stand still - and maybe that doesn't matter, so it works out for everybody. But at least know where you would realistically stand.
* If you excel and work your butt off, you'll be compensated and promoted. If you let yourself be a code monkey, and just sit coding with your head down all day, you'll be fine but won't advance. A big complaint from some Googlers is about not being able to advance ""even at Google"" with pure coding. Sure, if you're the uber genius who created MapReduce and Bigtable, you're going to advance like a rocket without having to do anything but coding; but if you're like most engineers at Google -- smarter than average, but just average compared to other Googlers -- you're just a good coder and not revolutionary. Code monkeys are important to actually get stuff done, and to be sure you absolutely need to be a good coder as a software engineer (it's the minimum requirement), but code monkeys won't advance because they're not leaders and they're easy to replace. To get promoted you need to lead and do more than just code. There are plenty of ways to lead other than being an official tech lead, so this isn't actually _that_ hard, so the real point is just that you can't just sit there coding what other people tell you to code all day and expect to advance.","* It *is* becoming larger, and with it comes growing pains: bureaucracy, slow to respond to market threats, bloated teams, cross-divisional tension (though nothing remotely approaching that of Microsoft's internal tension).
* The quality of the engineers is possibly dropping, but possibly not. It's hard to get real metrics, because as the absolute number of people grows, naturally the number of bad apples grows; as a percentage it's supposedly the same as it ever was, but with larger numbers of poorer quality engineers it just _feels_ like things might be changing for the worse.
* Also with growth means more internal-confidential data leaks (again, because of the raw numbers of people) -- product announcements being ruined, etc. That means the company has to be tighter-lipped internally to avoid leaks, which makes things less open. It's still an amazingly open place, but less so than it was even a couple years ago. The good thing is they recognize it and actively look to improve things because they know how important it is to keep the good culture."
Anonymous employee,5.0,"Feb 8, 2015",Current employee,"You can't find a more well-regarded company that actually deserves the hype it gets.

You'll work on cutting edge projects / solve important issues that impact your community and the world

You'll meet interesting people who are your colleagues, managers, and senior management.

You'll open the paper and see your company in the news almost every day, and read about projects you're working on, which is a cool thing

You'll see Larry and Sergey at TGIF and you'll admire how they lead the company. They are brilliant, goofy, low key but intense, and likeable. 

There are 22 cafes (more or less), the food is excellent, and it's free.

Your pay will typically be competitive, though it needs to be tweaked up a bit since the economy has improved.

Google cares about how it treats its employees.

The campus is like an academic campus in many ways.

There are tons of activities on campus, like authors speaking about their books, films after work, and gyms where you can work out - but you'll need to make sure to carve out time to do these things.

You'll get plenty of external validation from people who suddenly think you're smart and rich because you work there, even if you're not rich and you're as smart when you didn't work at Google.

If and when you leave, you'll never regret having that company on your resume. It opens doors. 

The company is flexible - if you're lucky, you won't have a micromanager boss and you can be somewhat flexible in how you work - but don't get me wrong - you'll work a LOT. But you don't have to do all of it chained to your desk.","I live in SF so the commute can take between 1.5 hours to 1.75 hours each way on the shuttle - sometimes 2 hours each way on a busy day or rainy day. That means being on the bus for 3-4 hours PER DAY. It's a wired bus though which means you can work on the way to Mountain View. But it can feel brutal.

Your first year or two are really important in terms of your career at Google and they affect how you're viewed, and your ability to be promoted. You should always ask to work on high profile projects. If you don't get them, don't expect to get high ratings or get promoted. Always volunteer for cross functional group work for maximum exposure, and then work hard at those things.

You'll likely work on something that no one will explain to you and it will take you at least a year to be comfortable doing what you're working on, even if you're super quick at learning.  No one has time to train you or teach you what you're doing - which is kind of hard.

After two or three years, people you started out with at Google start to get promoted. If you're not one of them, you'll wonder why and how it happened, and that process is somewhat political and not always clear. 

It's a big company now. And super political. So don't be naive. Expect some people to be catty, some people to be territorial, and be prepared to be mentally tough. Don't let people see your vulnerableness. It's a Darwinistic culture with a huge dose of 30-something idealism on top which can fool you into thinking that people are easygoing - they're not. They're driven. If you're not driven, you're not going to fit in.

When you start at Google, it seems like peer reviews are super important - they are, but they are the sprinkles on the fro yo. The important thing is that your direct manager knows your work, likes your work and likes you, and then you can get promoted. If your boss doesn't like you, all the positive peer reviews in the world won't help you.  Make sure you know what your boss wants, and give it to them. You will have weekly one on ones, and make sure you are addressing your performance at each one, asking if they have questions, how you can improve, can you work on cross functional projects, etc.

It's really hard to find work life balance at Google. The workload is huge.   I hardly have time to work out. The commute is brutal. My family sometimes needs more from me and I can't give it. I'm still trying to find the balance. I think I need more down time than most people so I have a hard time being structured every day to fit all the things I want into my day, so a lot of things slip, like working out."
Program manager,4.0,"Aug 5, 2025","Current employee, more than 3 years","Good pay, intelligent and down to earth people (for the most part), and despite there being a lot disgruntled employees about the continued layoffs and mixed feelings about Sundar, Google still really is an exciting place to work with a lot of potential opportunity given the AI movement.","The truth is you could get laid off at any point... and this is coming from someone who was given the highest performance rating possible in 2024. Even if you're hired in August of this year, by Feb of next year there's a real chance leadership has made some top down decision to slash roles in your org or to prioritize a different location for your org. The environment at Google has been increasingly tense and stressful the last 3 years. Managers and those around you are more and more panicked, so it's only naturally that you'll feel the consequences of this in your day to day (bottom line, it's becoming a more stressful place to work and expectations are increasing each month),"
Software development engineer (sde),4.0,"Jul 28, 2025",Former employee,"Google is also known for offering generous benefits, a flexible work environment, and a focus on personal development and learning. The diversity of projects and the impact their work can have globally is another big draw for those who work there. Would you like to know more about specific aspects of Google's work culture","While many employees enjoy working at Google, some challenges have been reported by others. These can include:
1. **High Expectations**: Google has a reputation for hiring top talent, which means there's often pressure to meet high expectations and deliver results quickly.

2. **Intense Workload**: The fast-paced, constantly evolving nature of the tech industry can result in long hours or a sense of burnout for some employees.
3. **Internal Competition**: With such a large pool of talented people, some individuals might feel a competitive atmosphere that can be stressful.
4. **Work-Life Balance**: While Google offers flexible work options, the sheer volume of work and the company's fast pace may make it challenging for some employees to maintain a balance between work and personal life.
5. **Bureaucracy and Hierarchy**: Despite its reputation for innovation, the company is still large and can have bureaucratic layers that may slow decision-making or innovation for some teams.
Of course, these experiences can vary widely depending on the team, role, and individual preferences."
Account manager,1.0,"Jul 8, 2025","Former employee, more than 1 year","Benefits, Colleagues, Pay, Dog friendly and free food.
Overall its a great environment with plenty of perks, amazing people and opportunities to move and learn.","Everything here depends on your direct manager. You will either get a genuine leader who invests in your growth and success or a someone who pretends but is only there to make themselves look good and will actively make your life hell to push you out.

Holier than thou attitudes of middle managers make it very a very toxic and two-faced environment. If you don't follow blindly you will be pushed out of the company under the facade of ""support"". 

Expectations seem to be different for people in the same role depending on if a manager likes you or not.

Untrustworthy people in influential positions who play the politics game instead of actually serving customers. 

HR dont take reports of bullying and discrimination seriously enough.

They don't actually care about customers and doing things the right way, its a fake customer first mindset while you're forced to shove products down businesses throats even though it could ruin their business.

Overall - be very cautious of the people around you, because behind the smiles, fake ""we're a team and support each other"" talk and ""Googliness"", there are some who want you to fail."
Software engineer,5.0,"Jul 30, 2025",Current employee,"Strong Compensation Package – Competitive salary, annual bonuses, and significant stock grants (RSUs).

Prestige and Career Credibility – Being a Google SWE III adds weight to your resume and can open doors at top tech companies.

Impactful Work – Opportunity to work on products that affect billions of users (Search, YouTube, Ads, etc.).

Learning and Growth – Access to internal courses, tech talks, mentorship, and exposure to high-quality engineering practices.

Engineering Culture – Strong code review practices, robust testing frameworks, and emphasis on design and scalability.","Slower Career Progression – Promotions, especially from L4 (SWE III) to L5, can take years due to high performance bars.

Bureaucracy and Red Tape – Decision-making can be slow, with many layers of approval and process.

Legacy Systems and Complexity – Working on huge, old codebases with heavy dependencies can be frustrating.

Narrow Scope of Work (Team Dependent) – Some teams may have less room for creativity or ownership due to large org structures.

Performance Review Pressure – Google’s calibration and performance review system can feel political or stressful."
Staff engineer,5.0,"Jul 27, 2025","Current employee, more than 8 years","Working at Google has been one of the most rewarding experiences of my career. The company truly invests in its people from world-class learning resources and internal mobility opportunities to an inclusive culture that encourages innovation and collaboration. I've had the chance to work on cutting-edge products with some of the smartest, kindest colleagues in tech. Leadership is thoughtful, the mission is meaningful, and the scale of impact is unmatched. If you're looking to do purposeful work while continuing to grow professionally, Google is an incredible place to be.","If I had to name one drawback, it would be that navigating such a large organization can sometimes be challenging. It takes effort to align cross-functionally and ensure your work is visible in such a big ecosystem. That said, once you learn how to navigate it, the opportunities are endless."
Software engineer iii,5.0,"Jul 22, 2025","Current employee, more than 1 year","The culture is amazing; you are surrounded by brilliant, driven, and friendly people who are always willing to help. The benefits and perks are world-class, including great healthcare, free meals, and fantastic office facilities. There are endless opportunities to learn new things and work on products that affect billions of people.","Because the company is so large, it can sometimes feel like a bureaucracy, and projects can move slower than you might like. Career progression can be competitive and sometimes feel opaque. It's easy to get comfortable, so you have to be proactive about seeking out new challenges to keep growing."
Product manager,5.0,"May 23, 2025",Current employee,"High Impact & Scale

You work on products that impact billions of users, which is rare and immensely rewarding.

Strong PM Community

Google's PM org is mature, well-structured, and full of top-tier talent—great for learning and mentorship.

Resources & Support

Access to top engineers, researchers, designers, and tools. Google invests heavily in product development.

Career Growth Opportunities

Clear career ladder with opportunities to move across teams or grow into senior leadership roles.

Data-Driven Culture

Heavy emphasis on A/B testing, user research, and analytics—great if you're analytical and metrics-driven.

Prestige and Resume Value

Being a PM at Google is a strong signal to future employers and helps open doors across the industry.

Compensation & Benefits

Highly competitive salaries, equity, generous benefits, healthcare, and parental leave.

Innovation Culture

Opportunity to work on cutting-edge AI/ML, infrastructure, and new products like Google Cloud, Android, Search, etc.","Complex Decision-Making

Large orgs mean decisions often require alignment across multiple stakeholders and can be slow.

Scope Limitations

PMs may find their scope narrow or very specific, especially in large, mature products.

Engineering-Led Culture

Google has a strong engineering culture, which can sometimes reduce PM influence in product decisions.

Bureaucracy

Can feel corporate and process-heavy, especially compared to startups or smaller companies.

High Expectations

The bar for performance is very high, and there’s pressure to constantly prove your impact.

Internal Competition

Promotions and top projects can be competitive. Visibility matters, and self-promotion is sometimes necessary.

Less Autonomy (in some roles)

In well-established teams, PMs may not have the autonomy to define the full product vision or roadmap.

Geographical Constraints

Some of the most exciting projects are tied to specific locations like Mountain View, which can limit flexibility."
Trading,5.0,"Aug 3, 2025","Current employee, less than 1 year","Strong training and development

High-performing team environment

Clear growth opportunities

Meaningful, challenging work",Demanding pace and performance expectations (but rewarding for the right person
Senior program manager,3.0,"Jul 20, 2025","Current employee, more than 8 years","Strong legacy and brand – Still carries a powerful global reputation that can boost your resume.
Smart, talented coworkers – Historically attracted some of the best minds in the industry.
Great compensation and benefits – Pay, stock options, and perks (like food and healthcare) are still competitive.","Loss of innovation culture – The once nimble and visionary culture has given way to risk aversion and red tape.
Management bloat and politics – Leadership changes, reorgs, and layers of bureaucracy have slowed execution.
Low morale and instability – Frequent layoffs, reorgs, and unclear direction have affected employee trust and motivation.
Career growth is uneven – Promotions can feel political or opaque; fewer meaningful opportunities to grow.
Declining work-life balance – Depending on the team, pressure and expectations have increased without added support."
Administrative,2.0,"Jun 19, 2025","Current employee, more than 3 years","The pay is highly competitive, and the perks are hard to beat—definitely one of the few places where the benefits package still feels generous. You’ll work with some incredibly smart, talented, and down-to-earth people who make the day-to-day bearable. Some tools and internal systems are well-developed and efficient, which helps get things done faster (when politics aren’t in the way).","Extremely bureaucratic and heavily political environment where who you know often matters more than what you do. There’s a constant cloud of looming layoffs, creating anxiety and instability across teams. Leadership is uninspiring at best, incompetent at worst—nepotism runs rampant, and accountability is nonexistent for people who play the “nice” card, regardless of performance.

The “golden handcuffs” are real. What once felt exciting and promising now just feels like a high-paying trap. The culture has taken a sharp nosedive, and morale is visibly deteriorating."
